"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested at Subgroup Level","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage At or Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage At or Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage At or Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage At or Near Standard","Area 4 Percentage Below Standard"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,4,"1",1342,298,"2543.5","63","23","86","6","8",297,"53","38","8","58","36","6","41","52","7","52","42","6"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,5,"1",1336,302,"2570.0","51","28","79","10","11",302,"51","35","14","61","26","13","34","59","7","57","33","10"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,5,"2",1336,306,"2593.0","63","19","82","11","7",306,"68","23","9","56","36","9","58","34","8","0","0","0"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,6,"2",1234,292,"2623.0","62","20","82","12","5",291,"64","27","9","58","34","7","59","35","5","0","0","0"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,6,"1",1234,287,"2603.5","52","33","85","10","6",287,"50","40","10","56","38","6","34","61","4","61","36","3"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,7,"1",1154,239,"2638.5","51","37","87","7","5",238,"57","36","7","69","27","4","34","61","5","63","32","5"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,7,"2",1154,238,"2654.9","67","19","86","10","5",238,"72","21","7","69","26","4","66","32","2","0","0","0"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,8,"2",1100,227,"2673.9","64","16","81","14","6",226,"67","24","9","63","31","6","63","32","5","0","0","0"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,8,"1",1100,225,"2645.0","47","40","86","8","5",225,"55","36","9","62","32","6","36","59","5","57","39","4"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,13,"1",7542,1681,"","52","30","83","10","8",1679,"52","38","11","58","35","8","36","58","6","54","39","7"
"41","69039","0000000",,2015,76,"B",7542,7430,1697,13,"2",7542,1692,"","63","22","86","10","5",1688,"72","21","7","64","31","6","63","32","5","0","0","0"
"41","69039","0000000",,2015,77,"B",7542,7430,352,3,"2",1376,57,"2465.5","30","43","73","14","13",56,"54","34","13","39","46","14","45","43","13","0","0","0"
"41","69039","0000000",,2015,77,"B",7542,7430,352,3,"1",1376,57,"2452.4","32","26","58","26","16",57,"32","46","23","29","58","13","25","70","5","25","61","14"
"41","69039","0000000",,2015,77,"B",7542,7430,352,4,"1",1342,58,"2489.1","40","21","60","22","17",58,"26","55","19","33","54","12","24","66","10","31","56","13"
"41","69039","0000000",,2015,77,"B",7542,7430,352,4,"2",1342,58,"2509.0","29","33","62","29","9",58,"41","41","17","26","62","12","34","47","19","0","0","0"
"41","69039","0000000",,2015,77,"B",7542,7430,352,5,"2",1336,56,"2548.9","38","25","63","29","9",56,"43","34","23","38","52","11","32","55","13","0","0","0"
"41","69039","0000000",,2015,77,"B",7542,7430,352,5,"1",1336,56,"2534.8","27","48","75","11","14",56,"36","45","20","36","48","16","29","57","14","43","50","7"
"41","69039","0000000",,2015,77,"B",7542,7430,352,6,"1",1234,55,"2554.4","24","42","65","24","11",55,"25","51","24","44","45","11","20","67","13","33","64","4"
"41","69039","0000000",,2015,77,"B",7542,7430,352,6,"2",1234,55,"2544.1","25","25","51","33","16",55,"33","51","16","20","55","25","20","58","22","0","0","0"
"41","69039","0000000",,2015,77,"B",7542,7430,352,7,"2",1154,63,"2570.8","24","29","52","33","14",63,"27","51","22","29","52","19","32","56","13","0","0","0"
"41","69039","0000000",,2015,77,"B",7542,7430,352,7,"1",1154,63,"2595.4","24","48","73","19","8",62,"34","50","16","47","47","6","15","74","11","44","53","3"
"41","69039","0000000",,2015,77,"B",7542,7430,352,8,"1",1100,63,"2587.8","8","57","66","30","5",61,"30","50","20","20","72","8","13","77","10","23","70","7"
