"County Code","District Code","School Code","Filler","Test Year","Subgroup ID","Test Type","Total CAASPP Enrollment","Total Tested At Entity Level","Total Tested with Scores","Grade","Test Id","CAASPP Reported Enrollment","Students Tested","Mean Scale Score","Percentage Standard Exceeded","Percentage Standard Met","Percentage Standard Met and Above","Percentage Standard Nearly Met","Percentage Standard Not Met","Students with Scores","Area 1 Percentage Above Standard","Area 1 Percentage Near Standard","Area 1 Percentage Below Standard","Area 2 Percentage Above Standard","Area 2 Percentage Near Standard","Area 2 Percentage Below Standard","Area 3 Percentage Above Standard","Area 3 Percentage Near Standard","Area 3 Percentage Below Standard","Area 4 Percentage Above Standard","Area 4 Percentage Near Standard","Area 4 Percentage Below Standard"
"41","69039","6044887",,2016,222,"B",1,"1",1,4,"1",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,222,"B",1,"1",1,13,"1",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,222,"B",1,"1",1,13,"2",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,223,"B",1,"1",1,3,"2",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,223,"B",1,"1",1,3,"1",1,"1","*","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,223,"B",1,"1",1,13,"1",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,223,"B",1,"1",1,13,"2",1,"1","","*","*","*","*","*","1","*","*","*","*","*","*","*","*","*","*","*","*"
"41","69039","6044887",,2016,224,"B",71,"71",70,3,"1",18,"18","2419.7","24","24","47","29","24","17","24","35","41","13","63","25","18","65","18","12","65","24"
"41","69039","6044887",,2016,224,"B",71,"71",70,3,"2",18,"18","2438.3","18","29","47","41","12","17","29","41","29","24","59","18","18","65","18","0","0","0"
"41","69039","6044887",,2016,224,"B",71,"71",70,4,"2",26,"26","2446.3","8","23","31","42","27","26","12","27","62","4","73","23","12","46","42","0","0","0"
"41","69039","6044887",,2016,224,"B",71,"71",70,4,"1",26,"26","2458.3","19","27","46","19","35","26","23","50","27","19","58","23","4","73","23","19","58","23"
"41","69039","6044887",,2016,224,"B",71,"71",70,5,"1",27,"27","2523.0","26","33","59","30","11","27","22","52","26","33","44","22","15","78","7","30","63","7"
"41","69039","6044887",,2016,224,"B",71,"71",70,5,"2",27,"27","2533.7","22","30","52","44","4","27","30","56","15","30","52","19","22","59","19","0","0","0"
"41","69039","6044887",,2016,224,"B",71,"71",70,13,"2",71,"71","","16","27","43","43","14","70","23","41","36","19","61","20","17","56","27","0","0","0"
"41","69039","6044887",,2016,224,"B",71,"71",70,13,"1",71,"71","","23","29","51","26","23","70","23","47","30","23","54","23","11","73","16","21","61","17"
